engine,agent,mcts_iterations,mcts_rollout_depth,mcts_exploration,size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,player_hp,enemy_hp,ofat_factor,ofat_value,max_steps,seed,episode,map_seed,experiment_name,cell_id,won,turns,damage_taken,final_hp,remaining_enemies,map_width,map_height,generated_enemy_count,generated_obstacle_count,generated_obstacle_density,structurally_valid,reachable_floor_fraction,interior_wall_density,dead_end_count,chokepoint_count,min_enemy_attack_distance,avg_enemy_attack_distance,max_enemy_attack_distance
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,0,11,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,11,4,0,3,13,11,3,16,0.09,1,0.963855421686747,0.16161616161616163,6,8,4,4.333333333333333,5
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,1,12,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,2,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.0,7
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,2,13,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,3,5,2,5.333333333333333,9
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,3,14,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,3,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,2,4,3,8.333333333333334,12
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,4,15,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,25,4,0,1,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,3,3,5.0,7
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,5,16,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,25,4,0,1,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,5,10,7,8.666666666666666,10
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,6,17,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,15,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,4,6,10.0,13
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,7,18,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,1,1,7,7.666666666666667,8
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,8,19,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,13,4,0,3,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,3,3,4,7.666666666666667,14
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,9,20,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,2,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,2,3,6,8.333333333333334,11
griddly,random,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,10,21,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.333333333333333,9
