size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
medium,baseline,medium_plus,many,open,medium_plus,many,low,3.433333333333333,2.533333333333333,3.0,4.0,9.6,18.033333333333335,15.766666666666667,12.9,0.4666666666666667,0.8333333333333334,0.6333333333333333,0.0,,0.3666666666666667,0.16666666666666663,0.20000000000000007,1.1633333333333333,balanced
medium,arena,medium_plus,many,open,medium_plus,many,low,3.433333333333333,2.4,2.9,4.0,11.933333333333334,17.9,18.966666666666665,13.933333333333334,0.43333333333333335,0.8666666666666667,0.7666666666666667,0.0,,0.43333333333333335,0.33333333333333337,0.09999999999999998,1.1466666666666667,balanced
medium,arena,medium_plus,normal,normal,medium_plus,normal,default,3.6666666666666665,2.533333333333333,3.033333333333333,4.0,11.866666666666667,21.433333333333334,18.4,15.433333333333334,0.3,0.8333333333333334,0.6,0.0,,0.5333333333333334,0.3,0.2333333333333334,1.1466666666666667,balanced
medium,arena,medium_plus,many,normal,medium_plus,many,default,3.5,2.6666666666666665,2.9,3.966666666666667,11.966666666666667,18.566666666666666,18.3,14.533333333333333,0.4,0.8333333333333334,0.7666666666666667,0.03333333333333333,,0.43333333333333335,0.3666666666666667,0.06666666666666665,1.1400000000000001,balanced
medium,arena,medium_plus,normal,open,medium_plus,normal,low,3.7,2.033333333333333,3.066666666666667,4.0,11.6,18.766666666666666,17.9,14.533333333333333,0.26666666666666666,0.9666666666666667,0.5666666666666667,0.0,,0.7,0.3,0.4,1.09,expert-leaning
medium,baseline,medium_plus,normal,normal,medium_plus,normal,default,3.466666666666667,2.8333333333333335,3.2666666666666666,4.0,10.666666666666666,17.033333333333335,18.4,14.5,0.43333333333333335,0.7,0.5666666666666667,0.0,,0.2666666666666666,0.1333333333333333,0.1333333333333333,1.0133333333333332,balanced
medium,baseline,medium_plus,normal,open,medium_plus,normal,low,3.6333333333333333,2.6666666666666665,3.1666666666666665,3.966666666666667,9.233333333333333,16.5,16.1,12.533333333333333,0.3333333333333333,0.7,0.6,0.03333333333333333,,0.36666666666666664,0.26666666666666666,0.09999999999999998,0.9866666666666665,balanced
medium,arena,heavy,normal,open,high,normal,low,3.966666666666667,2.8666666666666667,3.2666666666666666,4.0,9.633333333333333,17.8,16.566666666666666,12.966666666666667,0.03333333333333333,0.7,0.43333333333333335,0.0,,0.6666666666666666,0.4,0.2666666666666666,0.9733333333333332,expert-leaning
medium,random_walk,medium_plus,many,open,medium_plus,many,low,3.4,2.7,3.033333333333333,4.0,15.933333333333334,36.5,28.1,23.0,0.4,0.6666666666666666,0.6333333333333333,0.0,,0.2666666666666666,0.23333333333333328,0.033333333333333326,0.9566666666666666,balanced
medium,random_walk,medium_plus,normal,open,medium_plus,normal,low,3.6666666666666665,3.0,3.1333333333333333,4.0,16.333333333333332,36.8,27.366666666666667,23.233333333333334,0.26666666666666666,0.6666666666666666,0.5,0.0,,0.39999999999999997,0.23333333333333334,0.16666666666666663,0.9433333333333332,expert-leaning
