ofat_factor,ofat_value,agent,size,map_type,enemy_profile,item_profile,wall_profile,player_hp,enemy_hp,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction
baseline,baseline,heuristic,medium,baseline,medium_plus,many,open,4,2,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,9.6,2.184795947756525,3.433333333333333,0.5666666666666667,0.6666666666666666,1.25,3.466666666666667,0.9649628938858529
baseline,baseline,mcts_medium,medium,baseline,medium_plus,many,open,4,2,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,18.033333333333335,6.36910947900533,2.533333333333333,1.4666666666666666,0.16666666666666666,1.0,3.466666666666667,0.9649628938858529
baseline,baseline,mcts_small,medium,baseline,medium_plus,many,open,4,2,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,15.766666666666667,4.240151988890125,3.0,1.0,0.6,1.6363636363636365,3.466666666666667,0.9649628938858529
baseline,baseline,random,medium,baseline,medium_plus,many,open,4,2,30,0,0.0,0.0,0.113517091390478,12.9,4.39203825119955,4.0,0.0,2.5,2.5,3.466666666666667,0.9649628938858529
enemy_hp,1,heuristic,medium,baseline,medium_plus,many,open,4,1,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,12.1,20.106963967740132,0.9,3.1,0.03333333333333333,1.0,3.466666666666667,0.9649628938858529
enemy_hp,1,mcts_medium,medium,baseline,medium_plus,many,open,4,1,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,14.6,4.521061822182927,1.2333333333333334,2.7666666666666666,0.1,1.5,3.466666666666667,0.9649628938858529
enemy_hp,1,mcts_small,medium,baseline,medium_plus,many,open,4,1,30,30,1.0,0.8864829086095221,1.0,15.733333333333333,4.234251868853445,1.5,2.5,0.0,0.0,3.466666666666667,0.9649628938858529
enemy_hp,1,random,medium,baseline,medium_plus,many,open,4,1,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,17.733333333333334,6.392356546862997,3.1333333333333333,0.8666666666666667,0.8333333333333334,1.7857142857142858,3.466666666666667,0.9649628938858529
enemy_hp,3,heuristic,medium,baseline,medium_plus,many,open,4,3,30,0,0.0,0.0,0.113517091390478,8.0,1.879716290649558,4.0,0.0,1.9666666666666666,1.9666666666666666,3.466666666666667,0.9649628938858529
enemy_hp,3,mcts_medium,medium,baseline,medium_plus,many,open,4,3,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,13.9,8.817974068155715,3.7,0.3,2.1,2.739130434782609,3.466666666666667,0.9649628938858529
enemy_hp,3,mcts_small,medium,baseline,medium_plus,many,open,4,3,30,5,0.16666666666666666,0.07336434240351686,0.33564705185680177,11.566666666666666,4.737674065990141,3.8333333333333335,0.16666666666666666,2.2666666666666666,2.72,3.466666666666667,0.9649628938858529
enemy_hp,3,random,medium,baseline,medium_plus,many,open,4,3,30,0,0.0,0.0,0.113517091390478,12.866666666666667,4.944581770876975,4.0,0.0,2.8333333333333335,2.8333333333333335,3.466666666666667,0.9649628938858529
enemy_profile,heavy,heuristic,medium,baseline,heavy,many,open,4,2,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,9.733333333333333,2.365492666561356,3.8,0.2,1.5,1.7307692307692308,4.033333333333333,0.9501237572130925
enemy_profile,heavy,mcts_medium,medium,baseline,heavy,many,open,4,2,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,16.9,6.1283494243284355,3.0,1.0,0.8666666666666667,2.6,4.033333333333333,0.9501237572130925
enemy_profile,heavy,mcts_small,medium,baseline,heavy,many,open,4,2,30,15,0.5,0.33153851227173764,0.6684614877282624,15.933333333333334,5.904423953462541,3.3,0.7,1.5666666666666667,3.1333333333333333,4.033333333333333,0.9501237572130925
enemy_profile,heavy,random,medium,baseline,heavy,many,open,4,2,30,0,0.0,0.0,0.113517091390478,11.533333333333333,3.3139436057697518,4.0,0.0,3.533333333333333,3.533333333333333,4.033333333333333,0.9501237572130925
enemy_profile,light,heuristic,medium,baseline,light,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,5.733333333333333,1.4360439485692011,1.4,2.6,0.0,0.0,2.8,0.9869192959152358
enemy_profile,light,mcts_medium,medium,baseline,light,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,12.066666666666666,4.057366414587451,1.2,2.8,0.0,0.0,2.8,0.9869192959152358
enemy_profile,light,mcts_small,medium,baseline,light,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,13.933333333333334,4.130644286575912,1.6333333333333333,2.3666666666666667,0.0,0.0,2.8,0.9869192959152358
