factor,agent,win_rate_range,turns_range,damage_range,min_win_rate,max_win_rate
enemy_hp,heuristic,0.9666666666666667,4.1,3.1,0.0,0.9666666666666667
enemy_profile,heuristic,0.8666666666666667,3.999999999999999,2.4,0.13333333333333333,1.0
player_hp,heuristic,0.8333333333333334,2.366666666666667,0.7666666666666666,0.1,0.9333333333333333
size,heuristic,0.5333333333333333,7.1,2.1999999999999997,0.4666666666666667,1.0
item_profile,heuristic,0.2,0.5,0.30000000000000027,0.26666666666666666,0.4666666666666667
wall_profile,heuristic,0.16666666666666663,1.2666666666666675,0.1333333333333333,0.4,0.5666666666666667
map_type,heuristic,0.06666666666666665,6.333333333333334,0.033333333333333215,0.4,0.4666666666666667
enemy_hp,mcts_medium,0.7,4.133333333333335,2.466666666666667,0.23333333333333334,0.9333333333333333
player_hp,mcts_medium,0.43333333333333335,3.333333333333332,1.5333333333333334,0.5666666666666667,1.0
enemy_profile,mcts_medium,0.33333333333333337,5.966666666666669,1.8,0.6666666666666666,1.0
item_profile,mcts_medium,0.30000000000000004,2.3000000000000025,0.8666666666666667,0.5333333333333333,0.8333333333333334
size,mcts_medium,0.2666666666666667,8.766666666666667,1.3333333333333333,0.7333333333333333,1.0
map_type,mcts_medium,0.20000000000000007,18.6,0.30000000000000027,0.6666666666666666,0.8666666666666667
wall_profile,mcts_medium,0.20000000000000007,2.6666666666666643,0.3666666666666667,0.6333333333333333,0.8333333333333334
enemy_hp,mcts_small,0.8333333333333334,4.200000000000001,2.3333333333333335,0.16666666666666666,1.0
enemy_profile,mcts_small,0.5,2.0,1.6666666666666665,0.5,1.0
player_hp,mcts_small,0.5,6.899999999999999,1.7333333333333334,0.4666666666666667,0.9666666666666667
size,mcts_small,0.33333333333333337,7.466666666666669,1.1333333333333333,0.6333333333333333,0.9666666666666667
item_profile,mcts_small,0.23333333333333328,0.7000000000000011,0.4333333333333331,0.4,0.6333333333333333
map_type,mcts_small,0.13333333333333341,12.333333333333334,0.1333333333333333,0.6333333333333333,0.7666666666666667
wall_profile,mcts_small,0.033333333333333326,1.5333333333333332,0.1333333333333333,0.6,0.6333333333333333
enemy_profile,random,0.6666666666666666,6.966666666666667,1.2666666666666666,0.0,0.6666666666666666
size,random,0.6666666666666666,3.4000000000000004,1.3333333333333335,0.0,0.6666666666666666
enemy_hp,random,0.5333333333333333,4.866666666666667,0.8666666666666667,0.0,0.5333333333333333
player_hp,random,0.1,5.933333333333334,2.8666666666666663,0.0,0.1
item_profile,random,0.03333333333333333,1.0666666666666664,0.033333333333333215,0.0,0.03333333333333333
wall_profile,random,0.03333333333333333,2.0666666666666664,0.033333333333333215,0.0,0.03333333333333333
map_type,random,0.0,10.1,0.0,0.0,0.0
