size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
large,arena,heavy,few,normal,high,few,default,heuristic,20,0,0.0,0.0,0.1611301254949332,11.25,2.7179955849853767,4.0,0.0,4.05,4.05,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,few,normal,high,few,default,mcts_medium,20,1,0.05,0.008881219432873136,0.23613589351256675,15.25,6.448837104470852,3.9,0.1,4.85,5.105263157894737,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,few,normal,high,few,default,mcts_small,20,0,0.0,0.0,0.1611301254949332,13.6,1.8000000000000003,4.0,0.0,5.3,5.3,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,few,normal,high,few,default,random,20,0,0.0,0.0,0.1611301254949332,13.35,2.414021540914662,4.0,0.0,5.85,5.85,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,few,open,high,few,low,heuristic,20,1,0.05,0.008881219432873136,0.23613589351256675,13.5,1.9874606914351791,3.95,0.05,3.0,3.1578947368421053,4.9,0.9584144916244643,6.0,0.07000000000000002,0.07454545454545451,4.5,10.383333333333336,11.0
large,arena,heavy,few,open,high,few,low,mcts_medium,20,2,0.1,0.027865893984153206,0.30103820641179335,14.85,4.162631379308046,3.85,0.15,4.45,4.944444444444445,4.9,0.9584144916244643,6.0,0.07000000000000002,0.07454545454545451,4.5,10.383333333333336,11.0
large,arena,heavy,few,open,high,few,low,mcts_small,20,2,0.1,0.027865893984153206,0.30103820641179335,14.1,3.7934153476781316,3.85,0.15,4.75,5.277777777777778,4.9,0.9584144916244643,6.0,0.07000000000000002,0.07454545454545451,4.5,10.383333333333336,11.0
large,arena,heavy,few,open,high,few,low,random,20,0,0.0,0.0,0.1611301254949332,15.15,3.5110539728121526,4.0,0.0,5.65,5.65,4.9,0.9584144916244643,6.0,0.07000000000000002,0.07454545454545451,4.5,10.383333333333336,11.0
large,arena,heavy,many,normal,high,many,default,heuristic,20,1,0.05,0.008881219432873136,0.23613589351256675,13.4,3.3674916480965473,3.9,0.1,3.15,3.3157894736842106,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,many,normal,high,many,default,mcts_medium,20,6,0.3,0.14547527396899385,0.5189767762289793,19.05,6.666895829394666,3.45,0.55,3.0,4.285714285714286,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,many,normal,high,many,default,mcts_small,20,2,0.1,0.027865893984153206,0.30103820641179335,16.65,4.788266909853711,3.9,0.1,3.8,4.222222222222222,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
large,arena,heavy,many,normal,high,many,default,random,20,0,0.0,0.0,0.1611301254949332,14.1,3.1288975694324033,4.0,0.0,5.8,5.8,7.9,0.9499974488494309,6.0,0.14000000000000004,0.15151515151515146,5.95,10.316666666666666,10.75
