size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
large,baseline,normal,many,normal,default,many,default,3.55,2.75,2.95,4.0,12.25,22.8,21.05,19.0,0.3,0.8,0.75,0.0,,0.5,0.45,0.050000000000000044,1.16,balanced
medium,baseline,heavy,many,open,high,many,low,3.8,2.75,3.35,4.0,9.25,17.55,15.35,11.25,0.1,0.8,0.45,0.0,,0.7000000000000001,0.35,0.35000000000000003,1.1400000000000001,expert-leaning
large,arena,normal,many,normal,default,many,default,3.8,2.6,3.2,4.0,16.5,25.5,20.85,17.55,0.2,0.85,0.5,0.0,,0.6499999999999999,0.3,0.35,1.1300000000000001,expert-leaning
large,arena,normal,many,open,default,many,low,3.55,2.4,3.2,4.0,18.05,23.2,21.4,19.45,0.35,0.9,0.45,0.0,,0.55,0.10000000000000003,0.45,1.125,balanced
large,baseline,normal,many,open,default,many,low,3.05,2.65,2.85,4.0,11.8,19.45,19.5,17.05,0.55,0.8,0.7,0.0,,0.25,0.1499999999999999,0.10000000000000009,1.115,balanced
large,baseline,normal,normal,open,default,normal,low,3.55,2.75,2.65,4.0,11.3,20.9,21.75,16.45,0.35,0.75,0.85,0.0,,0.4,0.5,-0.09999999999999998,1.085,balanced
large,arena,normal,normal,open,default,normal,low,3.8,2.5,3.05,4.0,17.95,22.85,21.95,17.75,0.2,0.75,0.65,0.0,,0.55,0.45,0.09999999999999998,1.07,expert-leaning
medium,arena,heavy,normal,open,high,normal,low,3.95,2.8,3.3,4.0,9.9,17.35,16.8,12.25,0.05,0.75,0.4,0.0,,0.7,0.35000000000000003,0.35,1.055,expert-leaning
large,arena,normal,normal,normal,default,normal,default,3.75,3.05,3.4,4.0,16.55,26.1,19.75,17.1,0.2,0.7,0.45,0.0,,0.49999999999999994,0.25,0.24999999999999994,0.9899999999999999,expert-leaning
large,random_walk,normal,many,open,default,many,low,3.2,2.95,2.4,4.0,21.05,41.8,31.8,28.95,0.5,0.65,0.8,0.0,,0.15000000000000002,0.30000000000000004,-0.15000000000000002,0.94,balanced
large,baseline,normal,normal,normal,default,normal,default,3.7,3.1,3.1,3.9,12.5,21.6,22.8,18.65,0.25,0.65,0.55,0.05,,0.4,0.30000000000000004,0.09999999999999998,0.89,expert-leaning
large,random_walk,normal,normal,normal,default,normal,default,3.5,3.2,3.1,4.0,24.95,59.9,49.25,37.9,0.35,0.6,0.65,0.0,,0.25,0.30000000000000004,-0.050000000000000044,0.845,balanced
large,baseline,normal,few,open,default,few,low,3.5,3.1,3.0,4.0,11.4,19.7,23.55,15.85,0.4,0.55,0.75,0.0,,0.15000000000000002,0.35,-0.19999999999999996,0.77,mixed
large,baseline,normal,few,normal,default,few,default,3.45,3.1,2.9,4.0,12.3,20.75,20.2,18.9,0.3,0.55,0.55,0.0,,0.25000000000000006,0.25000000000000006,0.0,0.76,mixed
medium,arena,heavy,normal,normal,high,normal,default,3.9,3.0,3.05,4.0,10.95,17.9,15.8,12.4,0.1,0.55,0.5,0.0,,0.45000000000000007,0.4,0.050000000000000044,0.74,mixed
medium,arena,heavy,many,normal,high,many,default,3.95,3.1,3.55,4.0,10.55,18.55,15.45,13.1,0.05,0.55,0.35,0.0,,0.5,0.3,0.20000000000000007,0.735,mixed
large,baseline,heavy,normal,open,high,normal,low,3.9,3.15,3.55,4.0,10.95,19.45,15.85,13.55,0.05,0.55,0.25,0.0,,0.5,0.2,0.30000000000000004,0.735,mixed
large,arena,light,normal,normal,low,normal,default,3.0,2.6,3.15,3.95,16.05,23.5,21.55,18.8,0.85,0.8,0.55,0.05,,-0.04999999999999993,-0.29999999999999993,0.25,0.7000000000000001,mixed
large,random_walk,normal,normal,open,default,normal,low,3.55,3.1,3.15,4.0,21.2,40.2,35.75,28.75,0.45,0.5,0.65,0.0,,0.04999999999999999,0.2,-0.15000000000000002,0.695,mixed
large,arena,normal,few,normal,default,few,default,3.8,3.35,3.7,4.0,16.65,21.0,18.65,17.8,0.15,0.5,0.2,0.0,,0.35,0.05000000000000002,0.3,0.6649999999999999,mixed
medium,baseline,heavy,many,normal,high,many,default,3.8,3.25,2.9,4.0,10.1,15.5,16.85,12.9,0.1,0.5,0.65,0.0,,0.4,0.55,-0.15000000000000002,0.6599999999999999,mixed
large,baseline,heavy,many,normal,high,many,default,3.95,3.2,3.55,4.0,10.8,20.55,17.1,12.55,0.05,0.5,0.25,0.0,,0.45,0.2,0.25,0.655,mixed
medium,baseline,normal,many,open,default,many,low,2.55,1.85,2.25,4.0,8.5,16.45,16.5,15.05,0.85,1.0,1.0,0.0,,0.15000000000000002,0.15000000000000002,0.0,0.645,playable but easy
large,random_walk,normal,few,open,default,few,low,3.45,3.1,3.05,4.0,21.15,47.6,34.85,29.1,0.55,0.5,0.65,0.0,,-0.050000000000000044,0.09999999999999998,-0.15000000000000002,0.6349999999999999,mixed
medium,arena,heavy,many,open,high,many,low,3.95,3.05,3.6,3.9,9.75,14.95,15.5,12.85,0.05,0.5,0.3,0.05,,0.45,0.25,0.2,0.63,mixed
medium,baseline,normal,normal,open,default,normal,low,2.65,1.9,2.35,3.95,8.5,15.85,15.0,15.05,0.85,1.0,0.95,0.05,,0.15000000000000002,0.09999999999999998,0.050000000000000044,0.62,playable but easy
large,arena,light,many,normal,low,many,default,2.9,2.4,2.8,3.9,16.3,24.25,23.35,19.8,0.85,0.95,0.85,0.1,,0.09999999999999998,0.0,0.09999999999999998,0.615,playable but easy
large,random_walk,normal,many,normal,default,many,default,3.4,3.25,2.8,4.0,25.0,59.55,51.7,38.5,0.45,0.45,0.75,0.0,,0.0,0.3,-0.3,0.6149999999999999,too hard
medium,baseline,heavy,normal,open,high,normal,low,3.7,3.1,3.2,4.0,8.85,13.5,14.9,10.95,0.15,0.45,0.45,0.0,,0.30000000000000004,0.30000000000000004,0.0,0.585,too hard
medium,baseline,normal,few,open,default,few,low,2.7,2.4,2.55,4.0,8.65,15.6,18.1,15.55,0.9,1.0,0.95,0.0,,0.09999999999999998,0.04999999999999993,0.050000000000000044,0.58,too easy
medium,baseline,heavy,normal,normal,high,normal,default,3.95,3.15,3.3,4.0,9.7,16.0,15.3,12.2,0.05,0.45,0.5,0.0,,0.4,0.45,-0.04999999999999999,0.575,too hard
medium,random_walk,heavy,many,normal,high,many,default,4.0,3.4,3.7,4.0,14.85,34.5,32.4,22.6,0.0,0.45,0.25,0.0,,0.45,0.25,0.2,0.57,too hard
large,arena,light,many,open,low,many,low,2.9,2.05,2.5,4.0,16.9,20.6,22.8,21.45,0.95,0.9,0.85,0.0,,-0.04999999999999993,-0.09999999999999998,0.050000000000000044,0.5550000000000002,mixed
large,baseline,light,many,open,low,many,low,2.35,1.9,2.2,3.9,10.35,20.45,19.9,18.1,0.9,1.0,1.0,0.05,,0.09999999999999998,0.09999999999999998,0.0,0.5549999999999999,too easy
medium,baseline,normal,normal,normal,default,normal,default,2.65,1.9,2.25,3.95,9.05,17.0,19.85,16.95,0.9,1.0,0.95,0.05,,0.09999999999999998,0.04999999999999993,0.050000000000000044,0.5549999999999999,too easy
large,arena,light,few,open,low,few,low,2.95,2.7,3.1,3.95,17.25,26.85,21.1,19.9,0.95,0.9,0.55,0.05,,-0.04999999999999993,-0.3999999999999999,0.35,0.5300000000000001,mixed
