engine,agent,mcts_iterations,mcts_rollout_depth,mcts_exploration,size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,max_steps,seed,episode,map_seed,experiment_name,cell_id,won,turns,damage_taken,final_hp,remaining_enemies,map_width,map_height,generated_enemy_count,generated_obstacle_count,generated_obstacle_density,structurally_valid,reachable_floor_fraction,interior_wall_density,dead_end_count,chokepoint_count,min_enemy_attack_distance,avg_enemy_attack_distance,max_enemy_attack_distance
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,0,11,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,17,1,3,0,9,7,1,3,0.05,1,0.96875,0.0857142857142857,0,0,2,2.0,2
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,1,12,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,13,2,2,0,9,7,1,1,0.05,1,0.9705882352941176,0.0285714285714285,0,0,3,3.0,3
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,2,13,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,10,3,1,0,9,7,1,1,0.05,1,0.9705882352941176,0.0285714285714285,0,0,3,3.0,3
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,3,14,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,14,2,2,0,9,7,1,1,0.05,1,0.9705882352941176,0.0285714285714285,0,0,6,6.0,6
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,4,15,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,17,3,1,0,9,7,1,1,0.05,1,0.9705882352941176,0.0285714285714285,0,0,8,8.0,8
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,5,16,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,23,2,2,0,9,7,1,2,0.05,1,0.9696969696969696,0.0571428571428571,1,2,5,5.0,5
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,6,17,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,0,13,4,0,1,9,7,1,1,0.05,1,0.9705882352941176,0.0285714285714285,0,0,4,4.0,4
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,7,18,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,13,2,2,0,9,7,1,0,0.05,1,0.9714285714285714,0.0,0,0,4,4.0,4
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,8,19,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,14,3,1,0,9,7,1,2,0.05,1,0.9696969696969696,0.0571428571428571,1,1,3,3.0,3
griddly,random,,,,small,baseline,light,few,open,low,few,low,120,11,9,20,pcg_screen,pcg_screen:size=small:map_type=baseline:enemy_profile=light:item_profile=few:wall_profile=open:agent=random,1,9,2,2,0,9,7,1,2,0.05,1,0.9696969696969696,0.0571428571428571,1,1,2,2.0,2
