agent,variable,level,n_level,n_default,winrate_level,winrate_default,delta_winrate,cohens_h,p_won,delta_mean_turns,rank_biserial_turns,p_turns,p_won_holm,p_turns_holm,abs_h
heuristic,map_type,arena,50,400,0.08,1.0,-0.92,-2.568079549166696,1.2286938571999303e-58,,,,1.8430407857998953e-57,,2.568079549166696
heuristic,enemy_hp,3,50,400,0.14,1.0,-0.86,-2.3745986457279264,3.9156138710633086e-53,25.82857142857143,0.7885714285714285,0.00033940314005817844,5.481859419488632e-52,0.0027152251204654275,2.3745986457279264
heuristic,size,large,50,400,0.18,1.0,-0.8200000000000001,-2.2652945924214523,9.07508774850106e-50,37.17777777777778,0.7377777777777779,0.0001493178854753096,1.1797614073051379e-48,0.0013438609692777864,2.2652945924214523
heuristic,player_hp,3,50,400,0.22,1.0,-0.78,-2.165182126795959,1.3902209422726496e-46,14.036363636363632,0.4618181818181819,0.00885311081109436,1.6682651307271795e-45,0.053118664866566155,2.165182126795959
heuristic,enemy_count,high,50,400,0.28,1.0,-0.72,-2.02639500019072,4.4841362612859355e-42,20.4,0.7228571428571429,4.09811601272786e-06,4.932549887414529e-41,4.5079276140006464e-05,2.02639500019072
mcts,size,large,50,400,0.36,0.98,-0.62,-1.5707963267948972,1.0016944097767711e-28,10.013605442176875,0.2369614512471656,0.08901320963768714,1.5025416146651567e-27,0.5340792578261229,1.5707963267948972
mcts,enemy_hp,3,50,400,0.46,0.98,-0.52,-1.3670877976202283,9.173959929736213e-23,2.6947648624667266,0.061224489795918435,0.6219519399111925,1.2843543901630697e-21,1.0,1.3670877976202283
random,enemy_hp,1,50,400,0.72,0.16,0.5599999999999999,1.2033613080557437,8.727629611934494e-16,-5.555555555555557,-0.17013888888888884,0.15936211168115466,1.309144441790174e-14,0.9742726929886585,1.2033613080557437
mcts,enemy_count,high,50,400,0.56,0.98,-0.41999999999999993,-1.1667123351917812,2.4886761166899953e-17,-2.7959183673469425,0.02478134110787167,0.8270502699894839,3.235278951696994e-16,1.0,1.1667123351917812
mcts,map_type,arena,50,400,0.72,0.98,-0.26,-0.8314035441907461,1.2041776992155064e-09,-29.458616780045354,-0.764172335600907,3.077149425155451e-14,1.4450132390586077e-08,4.615724137733176e-13,0.8314035441907461
random,items,none,50,400,0.0,0.16,-0.16,-0.8230336921349761,0.0004156632998363429,,,,0.005403622897872458,,0.8230336921349761
mcts,player_hp,3,50,400,0.74,0.98,-0.24,-0.7863475051819813,8.930182255176479e-09,-4.92333149476007,-0.11472697186982905,0.2484784330080717,9.823200480694127e-08,1.0,0.7863475051819813
heuristic,wall_density,high,50,400,0.9,1.0,-0.09999999999999998,-0.6435011087932843,1.4089116516282334e-05,-7.133333333333336,-0.4475555555555556,8.105028425069722e-07,0.00014089116516282334,9.726034110083667e-06,0.6435011087932843
heuristic,wall_density,low,50,400,0.9,1.0,-0.09999999999999998,-0.6435011087932843,1.4089116516282334e-05,-7.222222222222225,-0.4151111111111111,4.7324059838030304e-06,0.00014089116516282334,4.7324059838030306e-05,0.6435011087932843
random,size,small,50,400,0.44,0.16,0.28,0.6274727522651324,1.4304076665381018e-05,-21.295454545454547,-0.5170454545454546,0.00030631100570512775,0.00020025707331533424,0.003369421062756405,0.6274727522651324
heuristic,map_type,baseline,50,400,0.92,1.0,-0.07999999999999996,-0.5735131044230966,0.000136603173179607,-14.273913043478263,-0.951304347826087,3.432452838386965e-26,0.001092825385436856,4.8054339737417515e-25,0.5735131044230966
random,enemy_count,high,50,400,0.02,0.16,-0.14,-0.5392395829266483,0.0046762706814095015,,,,0.046762706814095015,,0.5392395829266483
random,player_range,2,50,400,0.36,0.16,0.19999999999999998,0.4639685254515926,0.001458382328649053,2.9722222222222285,0.05555555555555558,0.7230883027909236,0.017500587943788636,1.0,0.4639685254515926
random,enemy_count,low,50,400,0.36,0.16,0.19999999999999998,0.4639685254515926,0.001458382328649053,-11.583333333333336,-0.3055555555555556,0.04835868018336718,0.017500587943788636,0.3868694414669374,0.4639685254515926
random,map_type,baseline,50,400,0.04,0.16,-0.12,-0.42031785055431453,0.019515360499457547,,,,0.17563824449511792,,0.42031785055431453
random,size,large,50,400,0.04,0.16,-0.12,-0.42031785055431453,0.019515360499457547,,,,0.17563824449511792,,0.42031785055431453
mcts,map_type,baseline,50,400,0.9,0.98,-0.07999999999999996,-0.3597069995849571,0.008986314609117863,-22.941950113378688,-0.6,4.165026127998122e-11,0.08986314609117863,5.831036579197371e-10,0.3597069995849571
mcts,wall_density,low,50,400,0.92,0.98,-0.05999999999999994,-0.2897189952147694,0.03413445297837551,-12.413930789707187,-0.2630878438331854,0.0034839906539216553,0.3072100768053796,0.03483990653921655,0.2897189952147694
heuristic,size,small,50,400,0.98,1.0,-0.020000000000000018,-0.28379410920832715,0.1111111111111111,-8.865306122448981,-0.5783673469387756,3.5594872447968784e-11,0.7777777777777777,4.627333418235942e-10,0.28379410920832715
mcts,enemy_hp,1,50,400,1.0,0.98,0.020000000000000018,0.28379410920832715,0.6064236420011255,-8.513061224489796,-0.23346938775510206,0.007130844326119617,1.0,0.06417759893507656,0.28379410920832715
mcts,wall_density,high,50,400,1.0,0.98,0.020000000000000018,0.28379410920832715,0.6064236420011255,-14.113061224489797,-0.3187755102040817,0.0002388238921920879,1.0,0.002865886706305055,0.28379410920832715
mcts,size,small,50,400,1.0,0.98,0.020000000000000018,0.28379410920832715,0.6064236420011255,-23.653061224489797,-0.5636734693877551,8.197005127987788e-11,1.0,1.0656106666384123e-09,0.28379410920832715
mcts,enemy_count,low,50,400,1.0,0.98,0.020000000000000018,0.28379410920832715,0.6064236420011255,-12.253061224489798,-0.28938775510204084,0.0008523064728575751,1.0,0.009375371201433325,0.28379410920832715
mcts,player_hp,5,50,400,1.0,0.98,0.020000000000000018,0.28379410920832715,0.6064236420011255,2.286938775510201,0.04122448979591842,0.6350563283904059,1.0,1.0,0.28379410920832715
mcts,items,none,50,400,0.94,0.98,-0.040000000000000036,-0.21114001713256858,0.11225420195521849,9.155449413808078,0.21363438992618322,0.01661471431136307,0.8980336156417479,0.13291771449090456,0.21114001713256858
random,items,double,50,400,0.24,0.16,0.07999999999999999,0.2009116839639764,0.1625416829390828,-5.666666666666664,-0.09375,0.6113350077817159,1.0,1.0,0.2009116839639764
random,wall_density,low,50,400,0.1,0.16,-0.06,-0.17953258334169175,0.40328254205935854,-26.25,-0.75,0.005385502267582995,1.0,0.05385502267582995,0.17953258334169175
random,map_type,arena,50,400,0.1,0.16,-0.06,-0.17953258334169175,0.40328254205935854,-16.65,-0.4,0.13918181328409407,1.0,0.9742726929886585,0.17953258334169175
random,enemy_hp,3,50,400,0.1,0.16,-0.06,-0.17953258334169175,0.40328254205935854,0.5499999999999972,0.07499999999999996,0.7887674542138808,1.0,1.0,0.17953258334169175
random,wall_density,high,50,400,0.22,0.16,0.06,0.15337683465885832,0.3132175824346759,-16.795454545454547,-0.43181818181818177,0.022617895833899046,1.0,0.20356106250509143,0.15337683465885832
mcts,items,double,50,400,0.96,0.98,-0.020000000000000018,-0.11892173237233461,0.3071097121872301,3.242772108843539,0.09056122448979598,0.30557725321379714,1.0,1.0,0.11892173237233461
heuristic,player_range,2,50,400,1.0,1.0,0.0,0.0,1.0,-0.5200000000000031,-0.04039999999999999,0.6410472803129479,1.0,1.0,0.0
random,player_hp,3,50,400,0.16,0.16,0.0,0.0,1.0,-8.75,-0.203125,0.3530817609074345,1.0,1.0,0.0
heuristic,enemy_hp,1,50,400,1.0,1.0,0.0,0.0,1.0,-2.4400000000000013,-0.19279999999999997,0.02593644200618337,1.0,0.12968221003091684,0.0
heuristic,player_hp,5,50,400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
random,player_hp,5,50,400,0.16,0.16,0.0,0.0,1.0,-5.875,-0.140625,0.5220930231279348,1.0,1.0,0.0
heuristic,items,double,50,400,1.0,1.0,0.0,0.0,1.0,3.6999999999999993,0.1459999999999999,0.09169523081998658,1.0,0.3667809232799463,0.0
heuristic,items,none,50,400,1.0,1.0,0.0,0.0,1.0,-3.1400000000000006,-0.05840000000000001,0.5000708764330117,1.0,1.0,0.0
heuristic,enemy_count,low,50,400,1.0,1.0,0.0,0.0,1.0,-4.640000000000001,-0.2652,0.0021879189907701544,1.0,0.015315432935391081,0.0
mcts,player_range,2,50,400,0.98,0.98,0.0,0.0,1.0,-6.775510204081634,-0.1703456892961266,0.051719509437894114,1.0,0.3620365660652588,0.0
