variable,level,agent,n,wins,win_rate,win_rate_lo,win_rate_hi,mean_turns_won,mean_damage,mean_final_hp,is_default
size,small,random,50,22,0.44,0.3116198721023534,0.5769421319985648,40.95454545454545,2.94,1.06,False
size,small,heuristic,50,49,0.98,0.8950431352816304,0.9964608319110235,17.73469387755102,1.38,2.62,False
size,small,mcts,50,50,1.0,0.9286499658256813,1.0,35.0,1.3,2.7,False
size,medium,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
size,medium,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
size,medium,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
size,large,random,50,2,0.04,0.011038652660826577,0.13460337877954667,110.0,3.64,0.36,False
size,large,heuristic,50,9,0.18,0.0977008273245379,0.3079631945470261,63.77777777777778,3.34,0.66,False
size,large,mcts,50,18,0.36,0.24138562967182875,0.49859237989698046,68.66666666666667,1.9,2.1,False
map_type,baseline,random,50,2,0.04,0.011038652660826577,0.13460337877954667,36.5,3.84,0.16,False
map_type,baseline,heuristic,50,46,0.92,0.8116149745493629,0.9684509967442093,12.326086956521738,3.0,1.0,False
map_type,baseline,mcts,50,45,0.9,0.7863950966521162,0.956524876008429,35.71111111111111,1.96,2.04,False
map_type,random_walk,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
map_type,random_walk,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
map_type,random_walk,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
map_type,arena,random,50,5,0.1,0.04347512399157111,0.2136049033478839,45.6,3.68,0.32,False
map_type,arena,heuristic,50,4,0.08,0.031549003255790686,0.18838502545063704,19.5,3.82,0.18,False
map_type,arena,mcts,50,36,0.72,0.5833461285401034,0.8252598564231963,29.194444444444443,1.68,2.32,False
items,none,random,50,0,0.0,0.0,0.07135003417431873,,4.0,0.0,False
items,none,heuristic,50,50,1.0,0.9286499658256813,1.0,23.46,3.0,1.0,False
items,none,mcts,50,47,0.94,0.8378265662912299,0.9793854036353695,67.80851063829788,2.9,1.1,False
items,default,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
items,default,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
items,default,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
items,double,random,50,12,0.24,0.14297252401872207,0.3741294937519236,56.583333333333336,3.08,0.92,False
items,double,heuristic,50,50,1.0,0.9286499658256813,1.0,30.3,1.98,2.02,False
items,double,mcts,50,48,0.96,0.8653966212204534,0.9889613473391734,61.895833333333336,1.54,2.46,False
enemy_count,low,random,50,18,0.36,0.24138562967182875,0.49859237989698046,50.666666666666664,3.14,0.86,False
enemy_count,low,heuristic,50,50,1.0,0.9286499658256813,1.0,21.96,1.48,2.52,False
enemy_count,low,mcts,50,50,1.0,0.9286499658256813,1.0,46.4,1.38,2.62,False
enemy_count,default,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
enemy_count,default,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
enemy_count,default,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
enemy_count,high,random,50,1,0.02,0.0035391680889764604,0.10495686471836953,37.0,3.92,0.08,False
enemy_count,high,heuristic,50,14,0.28,0.17474014357680362,0.4166538714598967,47.0,3.08,0.92,False
enemy_count,high,mcts,50,28,0.56,0.4230578680014353,0.6883801278976466,55.857142857142854,1.9,2.1,False
wall_density,low,random,50,5,0.1,0.04347512399157111,0.2136049033478839,36.0,3.68,0.32,False
wall_density,low,heuristic,50,45,0.9,0.7863950966521162,0.956524876008429,19.377777777777776,2.84,1.16,False
wall_density,low,mcts,50,46,0.92,0.8116149745493629,0.9684509967442093,46.23913043478261,2.04,1.96,False
wall_density,default,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
wall_density,default,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
wall_density,default,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
